created_at per hour,Count
4/16/2017 22:00,134
4/16/2017 23:00,611
4/17/2017 0:00,389
4/17/2017 1:00,242
4/17/2017 2:00,149
4/17/2017 3:00,75
4/17/2017 4:00,63
4/17/2017 5:00,97
4/17/2017 6:00,174
4/17/2017 7:00,338
4/17/2017 8:00,502
4/17/2017 9:00,532
4/17/2017 10:00,641
4/17/2017 11:00,736
4/17/2017 12:00,669
4/17/2017 13:00,619
4/17/2017 14:00,703
4/17/2017 15:00,585
4/17/2017 16:00,534
4/17/2017 17:00,721
4/17/2017 18:00,697
4/17/2017 19:00,1027
4/17/2017 20:00,1334
4/17/2017 21:00,1153
4/17/2017 22:00,1252
4/17/2017 23:00,576
4/18/2017 0:00,482
4/18/2017 1:00,259
4/18/2017 2:00,140
4/18/2017 3:00,125
4/18/2017 4:00,91
4/18/2017 5:00,153
4/18/2017 6:00,292
4/18/2017 7:00,465
4/18/2017 8:00,637
4/18/2017 9:00,623
4/18/2017 10:00,755
4/18/2017 11:00,715
4/18/2017 12:00,701
4/18/2017 13:00,616
4/18/2017 14:00,612
4/18/2017 15:00,705
4/18/2017 16:00,732
4/18/2017 17:00,864
4/18/2017 18:00,726
4/18/2017 19:00,834
4/18/2017 20:00,944
4/18/2017 21:00,1179
4/18/2017 22:00,1006
4/18/2017 23:00,594
4/19/2017 0:00,344
4/19/2017 1:00,201
4/19/2017 2:00,154
4/19/2017 3:00,135
4/19/2017 4:00,89
4/19/2017 5:00,131
4/19/2017 6:00,257
4/19/2017 7:00,434
4/19/2017 8:00,604
4/19/2017 9:00,711
4/19/2017 10:00,805
4/19/2017 11:00,769
4/19/2017 12:00,766
4/19/2017 13:00,782
4/19/2017 14:00,754
4/19/2017 15:00,740
4/19/2017 16:00,771
4/19/2017 17:00,797
4/19/2017 18:00,684
4/19/2017 19:00,932
4/19/2017 20:00,997
4/19/2017 21:00,1251
4/19/2017 22:00,1155
4/19/2017 23:00,636
4/20/2017 0:00,484
4/20/2017 1:00,195
4/20/2017 2:00,120
4/20/2017 3:00,76
4/20/2017 4:00,96
4/20/2017 5:00,110
4/20/2017 6:00,276
4/20/2017 7:00,431
4/20/2017 8:00,606
4/20/2017 9:00,839
4/20/2017 10:00,809
4/20/2017 11:00,789
4/20/2017 12:00,773
4/20/2017 13:00,746
4/20/2017 14:00,773
4/20/2017 15:00,761
4/20/2017 16:00,789
4/20/2017 17:00,806
4/20/2017 18:00,846
4/20/2017 19:00,957
4/20/2017 20:00,844
4/20/2017 21:00,1093
4/20/2017 22:00,1027
4/20/2017 23:00,586
4/21/2017 0:00,365
4/21/2017 1:00,271
4/21/2017 2:00,150
4/21/2017 3:00,55
4/21/2017 4:00,49
4/21/2017 5:00,183
4/21/2017 6:00,343
4/21/2017 7:00,472
4/21/2017 8:00,641
4/21/2017 9:00,792
4/21/2017 10:00,798
4/21/2017 11:00,819
4/21/2017 12:00,855
4/21/2017 13:00,740
4/21/2017 14:00,764
4/21/2017 15:00,812
4/21/2017 16:00,753
4/21/2017 17:00,710
4/21/2017 18:00,686
4/21/2017 19:00,908
4/21/2017 20:00,1096
4/21/2017 21:00,1022
4/21/2017 22:00,957
4/21/2017 23:00,832
4/22/2017 0:00,517
4/22/2017 1:00,305
4/22/2017 2:00,159
4/22/2017 3:00,111
4/22/2017 4:00,102
4/22/2017 5:00,65
4/22/2017 6:00,146
4/22/2017 7:00,373
4/22/2017 8:00,527
4/22/2017 9:00,635
4/22/2017 10:00,794
4/22/2017 11:00,826
4/22/2017 12:00,901
4/22/2017 13:00,889
4/22/2017 14:00,886
4/22/2017 15:00,765
4/22/2017 16:00,696
4/22/2017 17:00,689
4/22/2017 18:00,683
4/22/2017 19:00,834
4/22/2017 20:00,807
4/22/2017 21:00,797
4/22/2017 22:00,847
4/22/2017 23:00,703
4/23/2017 0:00,425
4/23/2017 1:00,382
4/23/2017 2:00,193
4/23/2017 3:00,114
4/23/2017 4:00,45
4/23/2017 5:00,70
4/23/2017 6:00,123
4/23/2017 7:00,247
4/23/2017 8:00,436
4/23/2017 9:00,704
4/23/2017 10:00,654
4/23/2017 11:00,598
4/23/2017 12:00,712
4/23/2017 13:00,742
4/23/2017 14:00,727
4/23/2017 15:00,910
4/23/2017 16:00,995
4/23/2017 17:00,790
4/23/2017 18:00,1074
4/23/2017 19:00,847
4/23/2017 20:00,865
4/23/2017 21:00,1067
4/23/2017 22:00,1145
4/23/2017 23:00,588
4/24/2017 0:00,312
4/24/2017 1:00,192
4/24/2017 2:00,118
4/24/2017 3:00,102
4/24/2017 4:00,75
4/24/2017 5:00,101
4/24/2017 6:00,221
4/24/2017 7:00,413
4/24/2017 8:00,495
4/24/2017 9:00,592
4/24/2017 10:00,763
4/24/2017 11:00,723
4/24/2017 12:00,514
4/24/2017 13:00,16
